block_number,transaction_index,from_address,to_address,time_stamp,contract_address,value
14669683,7,0xd30b438df65f4f788563b2b3611bd6059bff4ad9,0xda816e2122a8a39b0926bfa84edd3d42477e9efd,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,18.67
14669683,45,0x4941834ed1428089ee76252f6f9d767e800499b0,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,10000.0
14669683,46,0x2c1f9a20711e14f8484a41123e20d1b06858ebea,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,9942.313005
14669683,47,0x7784c4f53aa5f03bd6d3ca670c9d9c887cc38cb0,0x3cd751e6b0078be393132286c442345e5dc49699,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,234.364097
14669683,48,0x66589b8278470d58d4112f3d065de0f75734312e,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,9800.0
14669683,49,0x80db3aa1cef7ef49cbdc60fbd2ced9e7181ce156,0x07bdceca0bc179430bc4cde7284b15e2fe381a1e,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,999.950002
14669683,51,0xa8340a51f45f87a8177fe5daaf79f996e8ac4ee5,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,7815.017934
14669683,57,0x34ef2dc14405b7b2f06a924e7f742fdf3b6288e9,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,5000.0
14669683,67,0xb9f1b79c70734a2b90717b9b26fcbe65da1548c5,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,3000.0
14669683,68,0x3b87221b8df56bdc854f42b0ca6a3459b7e66e38,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,2734.168468
14669683,71,0x1f49d1cb9f686652bb20b11318e09f03cb6d8f97,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,180000.0
14669683,72,0xf2157d7b33fc1313b2fe758246aeaff56c838095,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,2113.82
14669683,73,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0x941cfad9d94e3c3621d50481cf4ce408144fbe19,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,9663.4336
14669683,76,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0xb29f4b9618f07279eab30aabf823facf1e055312,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,99770.021
14669683,77,0x575969f86f1a92a8bc508a20de201aa03eb1d63f,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,2000.0
14669683,78,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0x574f9c65789cf7b78aa6c7691ea16d322a10aaa5,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,9900.0
14669683,79,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0x916783a1e19a5968ae348229ec432d124381ed8f,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,930.0
14669683,81,0x0481e1b11505d42537691125661bb626b8a1f617,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,1576.33
14669683,84,0x4db3c96bd0e83399ff8fd8b1929c7b53b86caf62,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,1462.993182
14669683,90,0x77688cdcea2b1327715c8ace41016631a05d5064,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,1253.94
14669683,91,0x3db48b956f53812a48372e389852bcfa95f6a154,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,1200.0
14669683,93,0x02a4b597f4154c2955c2246899b854ce92cbcdaa,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,1072.5
14669683,196,0x1c7a269d4173b63a495b0755d6d50c6d4f840bd6,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,71800.0
14669683,203,0xcf30e858a44358539f13c8d3c7e635ed14354b9e,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,100000.0
14669683,204,0xa3b4cf250d43c551270dc19febee624e93160c2e,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,9040.5
14669683,211,0x21ec2dbb3bfd2210a84bbc924466a70becddd572,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,3993524.147971
14669683,215,0xc7aaa79bf3a4e946e14b6954c8cdac7ee3d77c53,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,8181.720912
14669683,216,0x2cdbe196301d2eaddcf77d1e36d4529f094f22c8,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,1610.0
14669683,217,0x72f0e604038ca894200c5d4bcb42eab6a574adff,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,1500.0
14669683,218,0xa83723ff4cd057b1a3d9461bf75fd5556232374d,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,2355.630231
14669683,220,0xde2c846989b3a99863966389c4c930d5e9a30deb,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,25781.373112
14669683,221,0x90dcce5953190f6b7e952351080ead6cb4164a65,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,19830.402668
14669683,222,0x75da399afc0b7f8db776f9f8e3cd582dc7d90660,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,1329.6391
14669683,223,0x3114817a7947f3f2f76c99fc7a5799670ddb07f9,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,5971.0
14669683,224,0x2dc59125e868fa40d11fcdb1daf74ed3083435b4,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,1625.9
14669683,225,0xb6fb1d11dbb26b6003396a0b1aef2ebf21e6feab,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,5254.303342
14669683,227,0x11b63e141d0fca3506006166bc9f7ec8af1cf080,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,8281.424844
14669683,232,0x8a3f126f5d2a61be87596d9bc3d297a673e4b567,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,5280.0
14669683,233,0x3308c2b435faddcacafb76a6c18fad7a24295e2b,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,38776.854459
14669683,236,0xc36e1a289e9fb71bd05b5904ccc1946df050c0d1,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,3999.800009
14669683,237,0x21fe17c25480205814bcde53fb1c8ad3a0cd9477,0x28c6c06298d514db089934071355e5743bf21d60,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,11400.0
14669683,243,0x88bd4d3e2997371bceefe8d9386c6b5b4de60346,0x0b17f9a004150cb6eded4f64b1d439246f86765d,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,39540.520898
14669683,247,0x88bd4d3e2997371bceefe8d9386c6b5b4de60346,0xe017b9dba777528a9d1d2ea33882d0f847571019,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,536.161004
14669683,249,0x88bd4d3e2997371bceefe8d9386c6b5b4de60346,0xa62e02d31a75d313e22a42a3ab57265c1a3e35fc,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,1564.0
14669683,254,0x4c9af439b1a6761b8e549d8d226a468a6b2803a8,0xd77a528c800a1720ba10b8e316417fe7fa99f93d,1651105815,0xdac17f958d2ee523a2206206994597c13d831ec7,26.74
